Caloric Content of foods,,,,,,
Food,portion,unit,Cal,Fat (g),Carbo(g),Protein (g)
"1000 Island, Salad Drsng,Local",15,g,25,2,2,0
"1000 Island, Salad Drsng,Reglr",16,g,60,6,2,0
"40% Bran Flakes, Kellogg's",28.35,g,90,1,22,4
"40% Bran Flakes, Post",28.35,g,90,0,22,3
"Alfalfa Seeds, Sprouted, Raw",33,g,10,0,1,1
All-Bran Cereal,28.35,g,70,1,21,4
"Almonds, Slivered",135,g,795,70,28,27
"Almonds, Whole",28.35,g,165,15,6,6
"Angelfood Cake, From Mix",635,g,1510,2,342,38
"Apple Juice, Canned",248,ml,115,0,29,0
Apple Pie,945,g,2420,105,360,21
"Apples, Dried, Sulfured",64,g,155,0,42,1
"Apples, Raw, Peeled, Sliced",110,g,65,0,16,0
"Apples, Raw, Unpeeled,2 Per Lb",212,g,125,1,32,0
"Apples, Raw, Unpeeled,3 Per Lb",138,g,80,0,21,0
"Applesauce, Canned, Sweetened",255,g,195,0,51,0
"Applesauce, Canned,Unsweetened",244,g,105,0,28,0
"Apricot Nectar, No Added Vit C",251,g,140,0,36,1
"Apricot, Canned, Heavy Syrup",258,ml,215,0,55,1
"Apricots, Canned, Juice Pack",248,ml,120,0,31,2
"Apricots, Dried, Cooked,Unswtn",250,g,210,0,55,3
"Apricots, Dried, Uncooked",130,g,310,1,80,5
"Apricots, Raw",106,g,50,0,12,1
"Artichokes, Globe, Cooked, Drn",120,g,55,0,12,3
"Asparagus, Ckd Frm Frz,Dr,Sper",60,g,15,0,3,2
"Asparagus, Ckd Frm Frz,Drn,Cut",180,g,50,1,9,5
"Asparagus, Ckd Frm Raw, Dr,Cut",180,g,45,1,8,5
"Asparagus, Ckd Frm Raw,Dr,Sper",60,g,15,0,3,2
"Asparagus,Canned,Spears,Nosalt",80,g,10,0,2,1
"Asparagus,Canned,Spears,W/Salt",80,g,10,0,2,1
"Avocados, California",173,g,305,30,12,4
"Avocados, Florida",304,g,340,27,27,5
"Bagels, Egg",68,g,200,2,38,7
"Bagels, Plain",68,g,200,2,38,7
"Baking Powder, Low Sodium",4.3,g,5,0,1,0
"Baking Powder, Strght Phosphat",3.8,g,5,0,1,0
"Baking Powder,Sas, Ca Po4",3,g,5,0,1,0
"Baking Powder,Sas,Capo4+Caso4",2.9,g,5,0,1,0
"Baking Pwdr Biscuits,From Mix",28,g,95,3,14,2
"Baking Pwdr Biscuits,Homerecpe",28,g,100,5,13,2
"Baking Pwdr Biscuits,Refrgdogh",20,g,65,2,10,1
"Bamboo Shoots, Canned, Drained",131,g,25,1,4,2
Bananas,114,g,105,1,27,1
"Bananas, Sliced",150,g,140,1,35,2
Barbecue Sauce,16,g,10,0,2,0
"Barley, Pearled,Light, Uncookd",200,g,700,2,158,16
"Bean Sprouts, Mung, Cookd,Dran",124,g,25,0,5,3
"Bean Sprouts, Mung, Raw",104,g,30,0,6,3
"Bean With Bacon Soup, Canned",253,g,170,6,23,8
"Beans,Dry,Canned,W/Frankfurter",255,g,365,18,32,19
"Beef And Vegetable Stew,Hm Rcp",245,g,220,11,15,16
"Beef Broth, Boulln, Consm,Cnnd",240,g,15,1,0,3
"Beef Gravy, Canned",233,g,125,5,11,9
"Beef Heart, Braised",85,g,150,5,0,24
"Beef Liver, Fried",85,g,185,7,7,23
"Beef Noodle Soup, Canned",244,g,85,3,9,5
"Beef Potpie, Home Recipe",210,g,515,30,39,21
"Beef Roast, Eye O Rnd, Lean",75,g,135,5,0,22
"Beef Roast, Eye O Rnd,Lean+Fat",85,g,205,12,0,23
"Beef Roast, Rib, Lean + Fat",85,g,315,26,0,19
"Beef Roast, Rib, Lean Only",61,g,150,9,0,17
"Beef Steak,Sirloin,Broil,Lean",72,g,150,6,0,22
"Beef Steak,Sirloin,Broil,Ln+Ft",85,g,240,15,0,23
"Beef, Canned, Corned",85,g,185,10,0,22
"Beef, Ckd,Bttm Round,Lean Only",78,g,175,8,0,25
"Beef, Ckd,Bttm Round,Lean+ Fat",85,g,220,13,0,25
"Beef, Ckd,Chuck Blade,Lean+Fat",85,g,325,26,0,22
"Beef, Ckd,Chuck Blade,Leanonly",62,g,170,9,0,19
"Beef, Dried, Chipped",72,g,145,4,0,24
"Beet Greens, Cooked, Drained",144,g,40,0,8,4
"Beets, Canned, Drained,No Salt",170,g,55,0,12,2
"Beets, Canned, Drained,W/ Salt",170,g,55,0,12,2
"Beets, Cooked, Drained, Diced",170,g,55,0,11,2
"Beets, Cooked, Drained, Whole",100,g,30,0,7,1
"Black Beans, Dry, Cooked,Drand",171,g,225,1,41,15
"Blackberries, Raw",144,g,75,1,18,1
"Blackeye Peas, Immatr,Raw,Cked",165,g,180,1,30,13
"Blackeye Peas,Immtr,Frzn,Cked",170,g,225,1,40,14
"Black-Eyed Peas, Dry, Cooked",250,g,190,1,35,13
Blue Cheese,28.35,g,100,8,1,6
Blue Cheese Salad Dressing,15,g,75,8,1,1
"Blueberries, Frozen, Sweetened",284,g,230,0,62,1
"Blueberries, Raw",145,g,80,1,20,1
"Blueberry Muffins, Home Recipe",45,g,135,5,20,3
"Blueberry Muffins,From Com Mix",45,g,140,5,22,3
Blueberry Pie,945,g,2285,102,330,23
Bologna,57,g,180,16,2,7
"Boston Brown Bread,W/Whtecrnm",45,g,95,1,21,2
"Boston Brown Bread,W/Yllwcrnml",45,g,95,1,21,2
"Bouillon, Dehydrtd, Unprepared",6,g,15,1,1,1
"Bran Muffins, From Commerl Mix",45,g,140,4,24,3
"Bran Muffins, Home Recipe",45,g,125,6,19,3
Braunschweiger,57,g,205,18,2,8
Brazil Nuts,28.35,g,185,19,4,4
"Bread Stuffing,From Mx,Drytype",140,g,500,31,50,9
"Bread Stuffing,From Mx,Moist",203,g,420,26,40,9
"Breadcrumbs, Dry, Grated",100,g,390,5,73,13
"Broccoli, Frzn, Cooked, Draned",30,g,10,0,2,1
"Broccoli, Raw",151,g,40,1,8,4
"Broccoli, Raw, Cooked, Drained",180,g,50,1,10,5
"Brown And Serve Sausage,Brwnd",13,g,50,5,0,2
Brown Gravy From Dry Mix,261,g,80,2,14,3
"Brownies W/ Nuts,Frm Home Recp",20,g,95,6,11,1
"Brownies W/ Nuts,Frstng,Cmmrcl",25,g,100,4,16,1
"Brussels Sprouts, Frzn, Cooked",155,g,65,1,13,6
"Brussels Sprouts, Raw, Cooked",155,g,60,1,13,4
"Buckwheat Flour, Light, Sifted",98,g,340,1,78,6
"Bulgur, Uncooked",170,g,600,3,129,19
"Butter, Salted",113,g,810,92,0,1
"Butter, Unsalted",113,g,810,92,0,1
"Buttermilk, Dried",120,g,465,7,59,41
"Buttermilk, Fluid",245,ml,100,2,12,8
